Bölge,Şehir,İstasyon,Tarih,PM10 (µg/m³),SO2 (µg/m³),NO2 (µg/m³),NOX (µg/m³),NO (µg/m³)
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-13 00:00:56,22.44,2.07,34.44,57.65,15.35
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-14 00:00:56,38.33,6.83,50.86,116.52,42.74
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-15 00:00:56,26.44,7.46,37.42,62.38,15.49
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-16 00:00:56,17.47,,41.95,,21.17
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-17 00:00:56,37.23,,55.14,165.01,71.64
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-18 00:00:56,42.48,3.53,59.71,189.07,84.17
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-19 00:00:56,31.77,2.26,41.91,,15.5
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-20 00:00:56,22.57,5.52,20.8,,7.09
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-21 00:00:56,10.72,1.54,5.81,,
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-22 00:00:56,13.22,1.83,15.69,36.97,4.6
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-23 00:00:56,21.81,3.4,39.02,91.2,25.0
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-24 00:00:56,16.37,2.19,27.58,56.05,9.53
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-25 00:00:56,24.44,5.11,52.07,96.74,20.11
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-26 00:00:56,20.93,4.75,46.73,115.97,36.16
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-27 00:00:56,22.18,4.53,52.34,116.75,33.04
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-28 00:00:56,11.56,2.96,18.76,44.79,7.87
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-29 00:00:56,9.6,2.81,20.39,44.41,6.65
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-30 00:00:56,9.86,1.89,18.49,43.19,7.12
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-31 00:00:56,11.51,1.74,12.73,32.49,3.89
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-01 00:00:56,16.13,3.3,30.93,82.9,24.58
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-02 00:00:56,44.08,6.69,45.71,196.57,91.78
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-03 00:00:56,24.84,3.51,43.97,125.47,46.63
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-04 00:00:56,29.13,6.45,44.45,108.69,35.35
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-05 00:00:56,32.11,7.15,47.41,91.7,22.36
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-06 00:00:56,35.43,7.07,61.97,159.92,57.35
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-07 00:00:56,37.4,7.79,72.54,171.49,57.97
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-08 00:00:56,32.42,6.4,45.92,120.84,42.42
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-09 00:00:56,35.56,6.09,67.49,186.26,70.87
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-10 00:00:56,31.53,8.57,46.97,97.11,26.18
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-11 00:00:56,31.23,7.56,50.41,140.81,52.44
