Bölge,Şehir,İstasyon,Tarih,PM10 (µg/m³),SO2 (µg/m³),NO2 (µg/m³),NOX (µg/m³),NO (µg/m³)
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-29 00:00:56,31.4,3.72,28.1,131.71,34.95
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-30 00:00:56,35.26,5.18,47.86,178.78,52.67
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-31 00:00:56,40.46,7.31,61.54,235.48,80.68
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-01 00:00:56,41.74,3.95,50.91,221.25,78.47
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-02 00:00:56,45.16,6.19,51.51,188.13,56.49
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-03 00:00:56,46.68,3.97,75.57,179.8,46.59
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-04 00:00:56,49.81,6.18,113.44,289.35,99.91
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-05 00:00:56,42.77,3.67,82.03,207.19,66.54
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-06 00:00:56,22.11,2.3,38.96,72.44,7.24
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-07 00:00:56,19.15,2.09,38.61,77.69,11.22
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-08 00:00:56,17.82,2.26,42.43,84.65,13.3
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-09 00:00:56,22.5,2.81,53.43,115.08,25.51
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-10 00:00:56,26.86,2.76,56.42,124.71,30.43
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-11 00:00:56,43.59,8.63,82.49,215.29,71.53
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-12 00:00:56,51.05,3.94,89.72,236.45,83.17
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-13 00:00:56,42.06,1.99,63.83,130.74,29.49
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-14 00:00:56,45.68,2.87,68.25,163.51,47.13
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-15 00:00:56,18.04,1.99,32.19,77.59,14.71
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-16 00:00:56,17.54,3.07,37.38,92.07,21.29
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-17 00:00:56,18.39,2.27,36.91,80.49,14.24
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-18 00:00:56,14.75,2.21,23.44,53.4,6.09
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-19 00:00:56,15.23,2.32,24.06,56.07,8.21
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-20 00:00:56,17.75,2.07,26.98,64.07,10.58
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-21 00:00:56,21.29,2.25,18.99,49.01,6.88
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-22 00:00:56,18.59,1.98,8.22,27.7,2.91
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-23 00:00:56,19.92,3.45,21.32,51.73,6.92
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-24 00:00:56,20.32,3.75,18.43,43.36,3.82
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-25 00:00:56,19.78,2.68,18.21,46.78,6.01
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-26 00:00:56,16.39,2.21,17.61,45.59,5.29
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-27 00:00:56,17.62,2.81,11.68,34.07,3.61
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-28 00:00:56,21.11,3.88,13.1,33.88,2.87
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-29 00:00:56,18.5,3.16,15.75,39.16,3.46
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-06-30 00:00:56,23.31,3.2,40.59,86.56,16.33
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-01 00:00:56,20.55,2.76,21.59,49.24,4.83
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-02 00:00:56,20.58,2.87,31.31,71.01,12.06
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-03 00:00:56,24.45,2.32,27.01,54.53,6.15
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-04 00:00:56,19.86,2.59,23.16,53.1,9.51
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-05 00:00:56,17.44,2.36,26.13,57.13,10.27
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-06 00:00:56,21.95,2.63,26.47,72.14,19.79
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-07 00:00:56,23.32,2.64,22.51,53.76,10.36
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-08 00:00:56,27.47,2.51,22.49,49.8,7.75
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-09 00:00:56,32.2,3.05,25.0,53.5,8.59
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-10 00:00:56,31.29,3.65,29.25,61.64,11.1
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-11 00:00:56,27.0,2.79,37.93,81.19,13.82
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-12 00:00:56,26.99,3.66,29.56,110.36,15.98
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-13 00:00:56,28.64,3.8,28.57,111.31,29.43
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-14 00:00:56,25.32,3.02,16.48,53.25,7.46
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-15 00:00:56,24.44,2.36,32.42,77.9,13.07
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-16 00:00:56,24.54,2.99,23.77,70.57,13.99
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-17 00:00:56,30.15,2.82,26.01,72.33,13.58
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-18 00:00:56,28.98,2.88,37.72,79.33,10.55
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-19 00:00:56,27.28,2.32,40.13,79.05,8.89
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-20 00:00:56,27.83,3.18,32.8,72.64,9.45
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-21 00:00:56,24.23,3.51,18.11,49.35,3.84
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-22 00:00:56,18.65,3.12,45.85,92.95,14.3
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-23 00:00:56,20.62,2.38,22.02,57.88,9.71
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-24 00:00:56,21.61,1.93,26.73,52.05,6.69
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-25 00:00:56,17.69,2.15,25.92,51.69,7.24
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-26 00:00:56,17.0,2.03,24.31,50.78,7.36
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-27 00:00:56,21.33,1.84,34.12,76.93,17.94
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-28 00:00:56,24.23,1.86,27.61,68.57,16.66
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-29 00:00:56,22.36,1.99,20.14,42.1,4.54
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-30 00:00:56,22.2,1.77,16.22,36.51,3.87
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-07-31 00:00:56,17.93,1.59,22.18,56.65,12.52
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-01 00:00:56,13.89,2.0,14.17,38.85,6.33
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-02 00:00:56,15.35,1.71,22.24,55.44,12.22
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-03 00:00:56,17.44,1.84,28.86,67.7,16.29
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-04 00:00:56,17.49,1.52,29.44,64.7,13.95
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-05 00:00:56,17.55,1.48,16.1,37.15,4.78
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-06 00:00:56,15.66,1.83,31.66,72.57,17.69
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-07 00:00:56,15.72,1.63,19.82,49.02,10.08
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-08 00:00:56,14.11,1.55,23.5,52.05,9.63
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-09 00:00:56,17.44,1.63,22.42,56.08,12.89
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-10 00:00:56,19.56,1.49,22.41,50.75,9.4
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-11 00:00:56,21.1,1.54,22.36,50.17,9.24
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-12 00:00:56,18.63,1.61,16.11,39.31,6.12
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-13 00:00:56,17.97,2.1,15.37,37.84,5.72
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-14 00:00:56,20.5,1.94,7.86,26.19,3.05
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-15 00:00:56,19.45,1.53,9.03,28.99,3.99
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-16 00:00:56,16.01,1.55,18.65,58.01,12.66
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-17 00:00:56,19.29,1.71,20.67,63.39,14.34
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-18 00:00:56,23.39,2.19,21.03,63.0,13.83
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-19 00:00:56,28.58,2.04,35.37,123.67,29.2
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-20 00:00:56,27.33,1.63,30.92,110.18,32.33
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-21 00:00:56,22.51,2.03,19.11,58.57,9.14
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-22 00:00:56,30.34,1.97,36.23,108.67,30.66
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-23 00:00:56,27.46,2.01,30.05,70.25,20.55
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-24 00:00:56,24.54,1.98,23.89,31.66,5.76
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-25 00:00:56,22.67,2.47,26.63,38.04,7.64
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-26 00:00:56,26.6,2.93,18.5,31.08,8.26
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-27 00:00:56,29.08,2.33,18.27,42.63,10.62
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-28 00:00:56,26.08,2.02,19.56,48.39,18.1
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-29 00:00:56,30.33,2.71,21.41,32.56,
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-30 00:00:56,23.79,2.35,19.44,33.85,
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-08-31 00:00:56,24.71,2.45,16.17,35.12,19.27
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-01 00:00:56,22.59,2.84,19.63,46.17,14.73
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-02 00:00:56,18.81,2.49,22.39,42.55,7.94
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-03 00:00:56,35.98,2.18,36.84,74.3,19.25
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-04 00:00:56,51.78,2.02,18.55,51.81,16.47
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-05 00:00:56,64.18,2.53,25.31,63.79,19.92
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-06 00:00:56,46.5,2.5,27.04,59.11,15.78
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-07 00:00:56,32.54,2.24,27.67,61.37,16.78
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-08 00:00:56,25.92,2.32,24.25,55.88,15.45
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-09 00:00:56,25.59,2.6,16.58,53.48,18.85
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-10 00:00:56,34.56,3.8,41.5,110.05,39.54
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-11 00:00:56,36.94,3.71,44.31,96.22,28.65
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-12 00:00:56,23.08,2.41,46.33,91.84,24.45
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-13 00:00:56,39.47,2.6,56.06,159.78,62.44
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-14 00:00:56,34.89,2.59,52.16,124.6,42.04
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-15 00:00:56,23.8,2.07,23.57,59.78,18.37
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-16 00:00:56,20.11,1.84,25.95,55.67,14.25
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-17 00:00:56,17.66,1.75,23.55,47.72,10.8
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-18 00:00:56,27.85,2.03,19.3,55.64,19.66
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-19 00:00:56,20.23,,15.3,28.77,6.2
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-20 00:00:56,20.21,,24.64,50.68,14.32
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-21 00:00:56,26.38,,17.88,33.67,7.7
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-22 00:00:56,28.45,,24.76,41.68,8.36
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-23 00:00:56,32.87,,37.23,71.83,19.97
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-24 00:00:56,33.2,,35.52,86.99,30.97
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-25 00:00:56,31.7,,39.65,99.82,36.69
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-26 00:00:56,27.58,,28.54,65.19,21.3
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-27 00:00:56,24.13,,27.2,67.87,23.99
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-28 00:00:56,25.5,,25.21,48.01,12.19
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-29 00:00:56,39.21,,37.11,67.63,17.31
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-09-30 00:00:56,13.82,,10.83,25.29,6.9
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-01 00:00:56,23.51,,25.11,46.51,12.03
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-02 00:00:56,97.85,,26.52,48.9,14.62
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-03 00:00:56,100.64,4.75,43.9,99.58,36.31
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-04 00:00:56,77.72,3.84,67.62,182.58,75.0
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-05 00:00:56,71.28,4.15,75.58,241.19,109.09
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-06 00:00:56,59.2,3.06,63.2,180.38,76.37
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-07 00:00:56,23.66,2.73,25.83,59.25,21.77
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-08 00:00:56,16.42,1.88,23.22,42.59,12.62
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-09 00:00:56,33.7,6.63,43.77,83.45,25.86
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-10 00:00:56,30.84,7.91,49.66,110.68,39.8
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-11 00:00:56,40.11,6.65,54.37,159.81,68.71
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-12 00:00:56,32.22,3.8,32.86,103.26,45.88
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-13 00:00:56,15.53,1.8,17.22,27.93,7.04
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-14 00:00:56,19.86,1.69,27.81,73.15,29.54
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-15 00:00:56,17.46,2.03,26.68,60.55,22.11
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-16 00:00:56,19.88,,23.76,59.35,23.17
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-17 00:00:56,14.47,,19.11,31.83,8.32
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-18 00:00:56,12.81,,19.53,31.88,8.22
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-19 00:00:56,13.78,3.51,26.78,47.3,13.42
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-20 00:00:56,14.77,2.31,22.08,34.5,8.1
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-21 00:00:56,11.91,1.65,17.63,26.52,5.83
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-22 00:00:56,19.62,1.68,14.75,33.42,12.17
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-23 00:00:56,23.53,2.15,14.54,39.4,16.19
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-24 00:00:56,20.44,1.78,15.21,29.03,8.98
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-25 00:00:56,17.39,2.22,22.77,33.45,6.97
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-26 00:00:56,20.46,2.59,27.29,50.3,15.1
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-27 00:00:56,20.53,2.86,26.19,39.38,8.64
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-28 00:00:56,25.11,4.22,33.06,91.09,37.83
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-29 00:00:56,24.78,4.41,26.46,71.54,29.32
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-30 00:00:56,25.83,4.11,17.29,25.95,5.6
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-10-31 00:00:56,17.36,3.56,24.23,40.27,10.41
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-01 00:00:56,,,,,
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-02 00:00:56,43.82,8.46,48.1,127.69,51.95
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-03 00:00:56,40.27,4.17,23.61,86.04,40.69
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-04 00:00:56,17.38,,33.74,64.09,15.4
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-05 00:00:56,,,,,
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-06 00:00:56,12.94,,16.28,25.94,6.32
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-07 00:00:56,12.97,,7.57,15.17,4.97
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-08 00:00:56,15.24,4.42,10.57,19.08,5.54
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-09 00:00:56,18.42,3.04,11.49,22.72,7.34
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-10 00:00:56,13.11,2.58,8.22,19.61,7.4
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-11 00:00:56,18.67,2.23,11.76,23.5,7.62
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-12 00:00:56,21.54,,10.45,17.84,4.83
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-13 00:00:56,20.46,,18.61,38.65,13.09
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-14 00:00:56,14.88,,16.29,32.15,10.33
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-15 00:00:56,11.39,2.31,18.15,38.72,13.37
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-16 00:00:56,14.93,,8.54,17.76,5.99
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-17 00:00:56,14.54,6.18,10.71,20.96,6.68
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-18 00:00:56,19.13,7.9,27.46,55.78,18.43
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-19 00:00:56,45.72,7.91,33.82,124.25,58.98
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-20 00:00:56,44.02,11.46,29.79,77.33,31.0
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-21 00:00:56,24.92,12.31,15.87,28.74,8.39
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-22 00:00:56,24.87,10.16,28.32,75.24,30.59
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-23 00:00:56,22.84,7.99,18.68,33.52,9.66
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-24 00:00:56,14.57,,12.75,26.24,8.8
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-25 00:00:56,23.83,2.42,26.68,60.21,21.86
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-26 00:00:56,25.92,9.15,34.63,125.41,59.43
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-27 00:00:56,40.32,12.3,63.58,195.93,86.46
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-28 00:00:56,38.54,6.09,69.69,298.23,148.9
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-29 00:00:56,56.98,8.63,32.14,323.24,191.17
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-11-30 00:00:56,,,,,
